trial,timestamp,phase,trial_kind,learning_enabled,target,answer,correct,reward,p0,p1,p2,policy_entropy,signal_energy,area_factor,post_noise_energy,overall,balanced_accuracy,one_vs_two_accuracy,recent_20,recent_100,recent_500,successes,attempts,target_0_accuracy,target_1_accuracy,target_2_accuracy,probe_overall,probe_balanced_accuracy,probe_one_vs_two_accuracy,probe_recent_20,probe_recent_100,probe_recent_500,probe_successes,probe_attempts,probe_target_0_accuracy,probe_target_1_accuracy,probe_target_2_accuracy,active_synapses,mean_delta_w
29,1789302839.6679885,dots_0_2_stage2_1,train,1,2,2,1,1.0,0.30921,0.36013,0.33066,1.09666,1.95623,1.44,2.43258,0.2413793103448276,0.25227272727272726,0.2631578947368421,0.25,0.2413793103448276,0.2413793103448276,7,29,0.2,0.18181818181818182,0.375,0.0,0.0,,0.0,0.0,0.0,0,2,0.0,,,192,0.007674
30,1789302839.6686468,dots_0_2_stage2_1,probe,0,0,1,0,-1.0,0.33203,0.33186,0.33611,1.0986,0.0,0.0,0.5339,0.23333333333333334,0.24621212121212122,0.2631578947368421,0.25,0.23333333333333334,0.23333333333333334,7,30,0.18181818181818182,0.18181818181818182,0.375,0.0,0.0,,0.0,0.0,0.0,0,3,0.0,,,0,0.0
31,1789302839.6692612,dots_0_2_stage2_1,train,1,2,2,1,1.0,0.30212,0.32835,0.36952,1.09517,1.91828,1.44,2.29387,0.25806451612903225,0.26936026936026936,0.3,0.3,0.25806451612903225,0.25806451612903225,8,31,0.18181818181818182,0.18181818181818182,0.4444444444444444,0.0,0.0,,0.0,0.0,0.0,0,3,0.0,,,192,0.007286
32,1789302839.669928,dots_0_2_stage2_1,train,1,0,0,1,1.0,0.33144,0.33083,0.33774,1.09857,0.0,0.0,0.58745,0.28125,0.2920875420875421,0.3,0.35,0.28125,0.28125,9,32,0.25,0.18181818181818182,0.4444444444444444,0.0,0.0,,0.0,0.0,0.0,0,3,0.0,,,192,0.00057
33,1789302839.670677,dots_0_2_stage2_1,train,1,0,2,0,-1.0,0.33416,0.32938,0.33645,1.09857,0.0,0.0,0.61951,0.2727272727272727,0.2856772856772857,0.3,0.3,0.2727272727272727,0.2727272727272727,9,33,0.23076923076923078,0.18181818181818182,0.4444444444444444,0.0,0.0,,0.0,0.0,0.0,0,3,0.0,,,192,0.000587
34,1789302839.6713333,dots_0_2_stage2_1,train,1,0,2,0,-1.0,0.33457,0.32981,0.33562,1.09858,0.0,0.0,0.46628,0.2647058823529412,0.28018278018278014,0.3,0.25,0.2647058823529412,0.2647058823529412,9,34,0.21428571428571427,0.18181818181818182,0.4444444444444444,0.0,0.0,,0.0,0.0,0.0,0,3,0.0,,,192,0.000471
35,1789302839.6719642,dots_0_2_stage2_1,train,1,1,2,0,-1.0,0.33586,0.32694,0.3372,1.09852,2.07613,1.44,2.53758,0.2571428571428571,0.2751322751322751,0.2857142857142857,0.2,0.2571428571428571,0.2571428571428571,9,35,0.21428571428571427,0.16666666666666666,0.4444444444444444,0.0,0.0,,0.0,0.0,0.0,0,3,0.0,,,192,0.008233
36,1789302839.6725755,dots_0_2_stage2_1,train,1,0,0,1,1.0,0.33668,0.33234,0.33098,1.09859,0.0,0.0,0.65036,0.2777777777777778,0.29259259259259257,0.2857142857142857,0.25,0.2777777777777778,0.2777777777777778,10,36,0.26666666666666666,0.16666666666666666,0.4444444444444444,0.0,0.0,,0.0,0.0,0.0,0,3,0.0,,,192,0.000651
37,1789302839.9271257,dots_0_2_stage2_1,train,1,0,1,0,-1.0,0.33576,0.33083,0.33341,1.09859,0.0,0.0,0.52386,0.2702702702702703,0.28703703703703703,0.2857142857142857,0.25,0.2702702702702703,0.2702702702702703,10,37,0.25,0.16666666666666666,0.4444444444444444,0.0,0.0,,0.0,0.0,0.0,0,3,0.0,,,192,0.000518
38,1789302839.9280925,dots_0_2_stage2_1,train,1,1,0,0,-1.0,0.34862,0.36045,0.29093,1.09437,2.00232,1.44,2.51435,0.2631578947368421,0.2827635327635328,0.2727272727272727,0.25,0.2631578947368421,0.2631578947368421,10,38,0.25,0.15384615384615385,0.4444444444444444,0.0,0.0,,0.0,0.0,0.0,0,3,0.0,,,192,0.00831
39,1789302839.9289517,dots_0_2_stage2_1,train,1,2,2,1,1.0,0.29025,0.32171,0.38804,1.09123,2.00766,1.44,2.44275,0.28205128205128205,0.30128205128205127,0.30434782608695654,0.3,0.28205128205128205,0.28205128205128205,11,39,0.25,0.15384615384615385,0.5,0.0,0.0,,0.0,0.0,0.0,0,3,0.0,,,192,0.008048
40,1789302839.9296675,dots_0_2_stage2_1,probe,0,0,2,0,-1.0,0.33302,0.33166,0.33532,1.0986,0.0,0.0,0.66765,0.275,0.29638009049773756,0.30434782608695654,0.3,0.275,0.275,11,40,0.23529411764705882,0.15384615384615385,0.5,0.0,0.0,,0.0,0.0,0.0,0,4,0.0,,,0,0.0
41,1789302839.9303496,dots_0_2_stage2_1,train,1,2,2,1,1.0,0.30226,0.3386,0.35914,1.0961,1.8546,1.44,2.12275,0.2926829268292683,0.3115316056492527,0.3333333333333333,0.35,0.2926829268292683,0.2926829268292683,12,41,0.23529411764705882,0.15384615384615385,0.5454545454545454,0.0,0.0,,0.0,0.0,0.0,0,4,0.0,,,192,0.007392
42,1789302839.9310396,dots_0_2_stage2_1,train,1,1,1,1,1.0,0.27318,0.32853,0.39829,1.08684,2.04797,1.44,2.71609,0.30952380952380953,0.3316781257957728,0.36,0.4,0.30952380952380953,0.30952380952380953,13,42,0.23529411764705882,0.21428571428571427,0.5454545454545454,0.0,0.0,,0.0,0.0,0.0,0,4,0.0,,,192,0.00819
43,1789302839.9318056,dots_0_2_stage2_1,train,1,0,0,1,1.0,0.33297,0.33135,0.33569,1.0986,0.0,0.0,0.56004,0.32558139534883723,0.34583934583934584,0.36,0.45,0.32558139534883723,0.32558139534883723,14,43,0.2777777777777778,0.21428571428571427,0.5454545454545454,0.0,0.0,,0.0,0.0,0.0,0,4,0.0,,,192,0.000602
44,1789302839.9324942,dots_0_2_stage2_1,train,1,1,1,1,1.0,0.29046,0.33724,0.37229,1.09351,1.91828,1.44,2.49809,0.3409090909090909,0.3632996632996633,0.38461538461538464,0.5,0.3409090909090909,0.3409090909090909,15,44,0.2777777777777778,0.26666666666666666,0.5454545454545454,0.0,0.0,,0.0,0.0,0.0,0,4,0.0,,,192,0.007381
45,1789302839.9331088,dots_0_2_stage2_1,train,1,0,0,1,1.0,0.33408,0.33348,0.33244,1.09861,0.0,0.0,0.67174,0.35555555555555557,0.37597022860180757,0.38461538461538464,0.55,0.35555555555555557,0.35555555555555557,16,45,0.3157894736842105,0.26666666666666666,0.5454545454545454,0.0,0.0,,0.0,0.0,0.0,0,4,0.0,,,192,0.000606
46,1789302839.9336827,dots_0_2_stage2_1,train,1,0,2,0,-1.0,0.33398,0.33313,0.33289,1.09861,0.0,0.0,0.58004,0.34782608695652173,0.3707070707070707,0.38461538461538464,0.55,0.34782608695652173,0.34782608695652173,16,46,0.3,0.26666666666666666,0.5454545454545454,0.0,0.0,,0.0,0.0,0.0,0,4,0.0,,,192,0.000635
47,1789302839.9343476,dots_0_2_stage2_1,train,1,0,1,0,-1.0,0.33455,0.33454,0.33091,1.0986,0.0,0.0,0.71349,0.3404255319148936,0.36594516594516596,0.38461538461538464,0.55,0.3404255319148936,0.3404255319148936,16,47,0.2857142857142857,0.26666666666666666,0.5454545454545454,0.0,0.0,,0.0,0.0,0.0,0,4,0.0,,,192,0.000704
48,1789302839.9351203,dots_0_2_stage2_1,train,1,2,1,0,-1.0,0.27677,0.32803,0.39519,1.08806,1.93008,1.44,2.38954,0.3333333333333333,0.3507936507936508,0.37037037037037035,0.5,0.3333333333333333,0.3333333333333333,16,48,0.2857142857142857,0.26666666666666666,0.5,0.0,0.0,,0.0,0.0,0.0,0,4,0.0,,,192,0.008379
49,1789302840.1887274,dots_0_2_stage2_1,train,1,0,2,0,-1.0,0.33604,0.32957,0.33439,1.09858,0.0,0.0,0.54695,0.32653061224489793,0.3464646464646464,0.37037037037037035,0.45,0.32653061224489793,0.32653061224489793,16,49,0.2727272727272727,0.26666666666666666,0.5,0.0,0.0,,0.0,0.0,0.0,0,4,0.0,,,192,0.000579
50,1789302840.1900089,dots_0_2_stage2_1,probe,0,0,1,0,-1.0,0.33584,0.33052,0.33364,1.09859,0.0,0.0,0.52256,0.32,0.34251207729468597,0.37037037037037035,0.45,0.32,0.32,16,50,0.2608695652173913,0.26666666666666666,0.5,0.0,0.0,,0.0,0.0,0.0,0,5,0.0,,,0,0.0
51,1789302840.1927636,dots_0_2_stage2_1,train,1,1,0,0,-1.0,0.2963,0.36776,0.33594,1.09474,1.89385,1.44,2.32838,0.3137254901960784,0.33695652173913043,0.35714285714285715,0.4,0.3137254901960784,0.3137254901960784,16,51,0.2608695652173913,0.25,0.5,0.0,0.0,,0.0,0.0,0.0,0,5,0.0,,,192,0.007155
