trial,timestamp,phase,trial_kind,learning_enabled,target,answer,correct,reward,p0,p1,p2,policy_entropy,signal_energy,area_factor,post_noise_energy,overall,recent_20,recent_100,recent_500,successes,attempts,target_0_accuracy,target_1_accuracy,target_2_accuracy,probe_overall,probe_recent_20,probe_recent_100,probe_recent_500,probe_successes,probe_attempts,probe_target_0_accuracy,probe_target_1_accuracy,probe_target_2_accuracy,active_synapses,mean_delta_w
29,1789302048.6233351,dots_0_2_stage2,train,1,2,2,1,1.0,0.39074,0.19092,0.41833,1.0479,1.95623,1.44,2.43258,0.27586206896551724,0.3,0.27586206896551724,0.27586206896551724,8,29,0.2,0.09090909090909091,0.625,0.0,0.0,0.0,0.0,0,2,0.0,,,198,0.010049
30,1789302048.6239405,dots_0_2_stage2,probe,0,0,1,0,-1.0,0.35161,0.26012,0.38827,1.08512,0.0,0.0,0.5339,0.26666666666666666,0.3,0.26666666666666666,0.26666666666666666,8,30,0.18181818181818182,0.09090909090909091,0.625,0.0,0.0,0.0,0.0,0,3,0.0,,,0,0.0
31,1789302048.6245081,dots_0_2_stage2,train,1,2,2,1,1.0,0.32619,0.17319,0.50061,1.01548,1.91828,1.44,2.29387,0.2903225806451613,0.35,0.2903225806451613,0.2903225806451613,9,31,0.18181818181818182,0.09090909090909091,0.6666666666666666,0.0,0.0,0.0,0.0,0,3,0.0,,,198,0.0086
32,1789302048.6250658,dots_0_2_stage2,train,1,0,0,1,1.0,0.33461,0.2492,0.41619,1.07743,0.0,0.0,0.58745,0.3125,0.4,0.3125,0.3125,10,32,0.25,0.09090909090909091,0.6666666666666666,0.0,0.0,0.0,0.0,0,3,0.0,,,198,0.00167
33,1789302048.6255748,dots_0_2_stage2,train,1,0,2,0,-1.0,0.34932,0.24281,0.40787,1.07687,0.0,0.0,0.61951,0.30303030303030304,0.35,0.30303030303030304,0.30303030303030304,10,33,0.23076923076923078,0.09090909090909091,0.6666666666666666,0.0,0.0,0.0,0.0,0,3,0.0,,,198,0.001501
34,1789302048.6260905,dots_0_2_stage2,train,1,0,2,0,-1.0,0.35825,0.25878,0.38297,1.08514,0.0,0.0,0.46628,0.29411764705882354,0.3,0.29411764705882354,0.29411764705882354,10,34,0.21428571428571427,0.09090909090909091,0.6666666666666666,0.0,0.0,0.0,0.0,0,3,0.0,,,195,0.001277
35,1789302048.6269157,dots_0_2_stage2,train,1,1,2,0,-1.0,0.33916,0.16011,0.50073,1.00639,2.07613,1.44,2.53758,0.2857142857142857,0.3,0.2857142857142857,0.2857142857142857,10,35,0.21428571428571427,0.08333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0,3,0.0,,,198,0.007072
36,1789302048.6281643,dots_0_2_stage2,train,1,0,0,1,1.0,0.3868,0.25682,0.35638,1.08422,0.0,0.0,0.65036,0.3055555555555556,0.3,0.3055555555555556,0.3055555555555556,11,36,0.26666666666666666,0.08333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0,3,0.0,,,198,0.001665
37,1789302048.8731303,dots_0_2_stage2,train,1,0,0,1,1.0,0.39634,0.26027,0.34339,1.08418,0.0,0.0,0.52386,0.32432432432432434,0.35,0.32432432432432434,0.32432432432432434,12,37,0.3125,0.08333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0,3,0.0,,,198,0.001351
38,1789302048.8740382,dots_0_2_stage2,train,1,1,0,0,-1.0,0.47018,0.15864,0.37118,1.01475,2.00232,1.44,2.51435,0.3157894736842105,0.3,0.3157894736842105,0.3157894736842105,12,38,0.3125,0.07692307692307693,0.6666666666666666,0.0,0.0,0.0,0.0,0,3,0.0,,,198,0.00807
