trial,timestamp,phase,trial_kind,learning_enabled,target,answer,correct,reward,p0,p1,p2,policy_entropy,stimulus_profile,signal_energy,area_factor,requested_area_factor,post_noise_energy,min_pair_distance,gain_ratio,overall,balanced_accuracy,one_vs_two_accuracy,recent_20,recent_100,recent_500,successes,attempts,target_0_accuracy,target_1_accuracy,target_2_accuracy,probe_overall,probe_balanced_accuracy,probe_one_vs_two_accuracy,probe_recent_20,probe_recent_100,probe_recent_500,probe_successes,probe_attempts,probe_target_0_accuracy,probe_target_1_accuracy,probe_target_2_accuracy,active_synapses,mean_delta_w
33,1789304122.0447454,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94473,0.02916,0.02611,0.25197,ood,0.0,0.0,0.0,0.48427,,,0.6666666666666666,0.6713286713286714,0.5,0.6,0.6666666666666666,0.6666666666666666,22,33,0.9230769230769231,1.0,0.09090909090909091,0.6666666666666666,0.6713286713286714,0.5,0.6,0.6666666666666666,0.6666666666666666,22,33,0.9230769230769231,1.0,0.09090909090909091,0,0.0
34,1789304122.045709,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.05703,0.91623,0.02674,0.34034,ood,1.90094,0.88687,0.88687,2.3609,2.0,2.83131,0.6470588235294118,0.6688034188034188,0.47619047619047616,0.55,0.6470588235294118,0.6470588235294118,22,34,0.9230769230769231,1.0,0.08333333333333333,0.6470588235294118,0.6688034188034188,0.47619047619047616,0.55,0.6470588235294118,0.6470588235294118,22,34,0.9230769230769231,1.0,0.08333333333333333,0,0.0
35,1789304122.0464313,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.01248,0.95535,0.03217,0.2089,ood,2.13331,1.90978,1.90978,2.47253,,,0.6571428571428571,0.6688034188034188,0.5,0.55,0.6571428571428571,0.6571428571428571,23,35,0.9230769230769231,1.0,0.08333333333333333,0.6571428571428571,0.6688034188034188,0.5,0.55,0.6571428571428571,0.6571428571428571,23,35,0.9230769230769231,1.0,0.08333333333333333,0,0.0
36,1789304122.0470634,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.93931,0.03097,0.02971,0.27091,ood,0.0,0.0,0.0,0.63454,,,0.6666666666666666,0.6706349206349206,0.5,0.55,0.6666666666666666,0.6666666666666666,24,36,0.9285714285714286,1.0,0.08333333333333333,0.6666666666666666,0.6706349206349206,0.5,0.55,0.6666666666666666,0.6666666666666666,24,36,0.9285714285714286,1.0,0.08333333333333333,0,0.0
37,1789304122.303521,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.03013,0.95987,0.01,0.19088,ood,1.91564,2.04981,2.04981,2.44001,,,0.6756756756756757,0.6706349206349206,0.5217391304347826,0.6,0.6756756756756757,0.6756756756756757,25,37,0.9285714285714286,1.0,0.08333333333333333,0.6756756756756757,0.6706349206349206,0.5217391304347826,0.6,0.6756756756756757,0.6756756756756757,25,37,0.9285714285714286,1.0,0.08333333333333333,0,0.0
38,1789304122.3051236,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.02104,0.95627,0.02269,0.2099,ood,1.93863,1.01121,1.01121,2.4995,2.0,2.37984,0.6578947368421053,0.6684981684981685,0.5,0.55,0.6578947368421053,0.6578947368421053,25,38,0.9285714285714286,1.0,0.07692307692307693,0.6578947368421053,0.6684981684981685,0.5,0.55,0.6578947368421053,0.6578947368421053,25,38,0.9285714285714286,1.0,0.07692307692307693,0,0.0
39,1789304122.306076,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.0506,0.82659,0.12281,0.56595,ood,1.98289,0.92087,0.92087,2.44911,2.82843,2.05625,0.6410256410256411,0.6666666666666666,0.48,0.55,0.6410256410256411,0.6410256410256411,25,39,0.9285714285714286,1.0,0.07142857142857142,0.6410256410256411,0.6666666666666666,0.48,0.55,0.6410256410256411,0.6410256410256411,25,39,0.9285714285714286,1.0,0.07142857142857142,0,0.0
40,1789304122.3069468,dots_0_2_stage2_2_ood,ood_eval,0,2,2,1,1.0,0.06503,0.81583,0.11914,0.59725,ood,2.00953,0.96653,0.96653,2.49962,2.0,2.23075,0.65,0.6873015873015874,0.5,0.6,0.65,0.65,26,40,0.9285714285714286,1.0,0.13333333333333333,0.65,0.6873015873015874,0.5,0.6,0.65,0.65,26,40,0.9285714285714286,1.0,0.13333333333333333,0,0.0
41,1789304122.3076298,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94714,0.02604,0.02682,0.24348,ood,0.0,0.0,0.0,0.50899,,,0.6585365853658537,0.688888888888889,0.5,0.6,0.6585365853658537,0.6585365853658537,27,41,0.9333333333333333,1.0,0.13333333333333333,0.6585365853658537,0.688888888888889,0.5,0.6,0.6585365853658537,0.6585365853658537,27,41,0.9333333333333333,1.0,0.13333333333333333,0,0.0
42,1789304122.3083134,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.0409,0.90301,0.05609,0.38444,ood,2.0359,1.90632,1.90632,2.54799,2.0,2.53205,0.6428571428571429,0.6861111111111112,0.48148148148148145,0.6,0.6428571428571429,0.6428571428571429,27,42,0.9333333333333333,1.0,0.125,0.6428571428571429,0.6861111111111112,0.48148148148148145,0.6,0.6428571428571429,0.6428571428571429,27,42,0.9333333333333333,1.0,0.125,0,0.0
